player_id;family_name;given_name;goal_keeper;defender;midfielder;forward;count_tournaments
P-02853;Aziz;Khaled;0;0;1;0;1
P-06308;Azizi;Khodadad;0;0;0;1;1
P-02194;Azmi;Khalil;1;0;0;0;1
P-07107;Azmoun;Sardar;0;0;0;1;1
P-02689;Baardsen;Espen;1;0;0;0;1
P-07547;Babangida;Tijani;0;0;1;0;1
P-00230;Babatunde;Michael;0;0;1;0;1
P-00915;Babb;Phil;0;1;0;0;1
P-03486;Babbel;Markus;0;1;0;0;1
P-09691;Babi;Marko;0;0;1;0;1
P-04660;Babington;Carlos;0;0;1;0;1
P-00831;Babo;Kabasu;0;1;0;0;1
P-00946;Bachev;Georgi;0;0;0;1;1
P-02420;Backaert;Jo;0;0;1;0;1
P-01810;Bader;Ren;0;0;0;1;1
P-01843;Badilla;Gabriel;0;1;0;0;1
P-06632;Badri;Anice;0;0;1;0;1
P-00771;Badstuber;Holger;0;1;0;0;1
P-07889;Baecke;Marc;0;1;0;0;1
P-02017;Baek;Ji-hoon;0;0;1;0;1
P-08010;Baez;Melanio;0;0;1;0;1
P-02933;Bez;Richart;0;0;0;1;1
P-01996;Baeza;Alberto;0;0;0;1;1
P-01796;Bagheri;Karim;0;0;1;0;1
P-09144;Bagni;Salvatore;0;0;1;0;1
P-00293;Bag;scar;0;1;0;0;1
P-08484;Bahebri;Hattan;0;0;1;0;1
P-02130;Bahja;Ahmed;0;0;0;1;1
P-09679;Bahman;Jasem;1;0;0;0;1
P-03542;Bahoken;Paul;0;0;0;1;1
P-01683;Bahr;Walter;0;0;1;0;1
P-08120;Baa;Vtor;1;0;0;0;1
P-02328;Baiano;Jnior;0;1;0;0;1
P-01283;Bailey;Gary;1;0;0;0;1
P-05779;Bailey;Roberto;0;0;0;1;1
P-00598;Baily;Eddie;0;0;0;1;1
P-05861;Baines;Leighton;0;1;0;0;1
P-03076;Baird;Sammy;0;0;0;1;1
P-09420;Bajevi;Duan;0;0;0;1;1
P-09461;Bk;Arkadiusz;0;0;1;0;1
P-07360;Baker;Colin;0;1;0;0;1
P-06912;Baker;George;0;0;1;0;1
P-00965;Bakhati;Mohammed;0;0;1;0;1
P-00857;Bakheet;Zuhair;0;0;0;1;1
P-07555;Bakhtiarizadeh;Sohrab;0;1;0;0;1
P-05268;Bakhuys;Beb;0;0;0;1;1
P-09594;Balbuena;Agustn;0;0;0;1;1
P-04833;Balczar;Toms;0;0;0;1;1
P-03958;Bald;Keita;0;0;0;1;1
P-07105;Baldivieso;Julio Csar;0;0;1;0;1
P-01066;Baldocchi;not applicable;0;1;0;0;1
P-06996;Balint;Gabi;0;0;0;1;1
P-02580;Balji;Mirsad;0;1;0;0;1
P-09114;Ballabio;Erwin;1;0;0;0;1
P-01567;Ballaman;Robert;0;0;0;1;1
P-01714;Ballesteros;Enrique;1;0;0;0;1
P-07531;Balogh;Istvn;0;0;1;0;1
P-06772;Balogun;Leon;0;1;0;0;1
P-04874;Balotelli;Mario;0;0;0;1;1
P-02470;Baloy;Felipe;0;1;0;0;1
P-02793;Baloyi;Brian;1;0;0;0;1
P-03384;Baltacha;Sergei;0;1;0;0;1
P-01511;Bamous;Driss;0;0;1;0;1
P-04422;Bandeirinha;Fernando;0;1;0;0;1
P-00801;Banega;ver;0;0;1;0;1
P-04855;Banguera;Mximo;1;0;0;0;1
P-03327;Bni;Heinz;0;0;1;0;1
P-08234;Banishevskiy;Anatoliy;0;0;0;1;1
P-04403;Banks;Jimmy;0;1;0;0;1
P-05629;Banks;Tommy;0;1;0;0;1
P-05134;Bannatyne;James;1;0;0;0;1
P-08046;Bannikov;Viktor;1;0;0;0;1
P-01198;Bannon;Eamonn;0;0;1;0;1
P-03491;Baptista;Alexandre;0;1;0;0;1
P-01291;Baptista;Jlio;0;0;1;0;1
P-03139;Bar;Shraga;0;1;0;0;1
P-08430;Baraffe;Edmond;0;0;0;1;1
P-09188;Baraja;Rubn;0;0;1;0;1
P-06165;Baran;Stanisaw;0;0;0;1;1
P-00647;Barbadillo;Gernimo;0;0;0;1;1
P-09117;Barbas;Juan;0;0;1;0;1
P-00211;Barbosa;not applicable;1;0;0;0;1
P-01314;Barbosa;Pedro;0;0;1;0;1
P-01121;Barbu;tefan;0;0;0;1;1
P-08051;Brbulescu;Andrei;0;0;1;0;1
P-01805;Brcenas;dgar;0;0;1;0;1
P-02362;Bareo;Rben;0;0;0;1;1
P-01515;Baresi;Giuseppe;0;0;1;0;1
P-01096;Bargas;ngel;0;1;0;0;1
P-04647;Barison;Paolo;0;0;1;0;1
P-06874;Barkley;Ross;0;0;1;0;1
P-04963;Barmo;Jozef;0;1;0;0;1
P-00559;Barone;Simone;0;0;1;0;1
P-07166;Baro;Milan;0;0;0;1;1
P-09378;Barqun;Jacinto;0;1;0;0;1
P-06711;Barrantes;Hermidio;1;0;0;0;1
P-00880;Barrantes;Michael;0;0;1;0;1
P-06812;Barrera;Pablo;0;0;1;0;1
P-09449;Barrera;Rodrigo;0;0;0;1;1
